,AD:att_all_ave,AD:att_AD_ave,AD:att_SCZ_ave,AD:att_dat_ave,Control:att_all_ave,Control:att_AD_ave,Control:att_SCZ_ave,Control:att_dat_ave
Oligo:FLI1 -> PECAM1,0.10634560081875237,0.08283655107986469,0.07782440248638783,0.13236072485437847,0.14814385456517587,0.12112721768219907,0.12063350598535252,0.17540734729657592
Oligo:IKZF1 -> GAB3,0.06422825007234093,0.05205352951277297,0.047565263680122156,0.0786471035482343,0.11041818237908696,0.0902363633555437,0.09586879944122637,0.12778378335978888
Oligo:ETV6 -> SH3TC1,0.04325359538671256,0.013074501569116074,0.016313967019304588,0.0718129564792148,0.02470769005715072,0.018977128818427915,0.016399834860046876,0.031726898275064086
Micro:IRF8 -> LYN,0.03114056491226059,0.0041153314185513774,0.006707386356549487,0.05686977093697077,0.03125844977371757,0.013050354335809585,0.014754829001950132,0.04861430787855532
Oligo:ETV6 -> AKAP13,0.054567736647141464,0.02922797887764778,0.027774272142408084,0.08063434778425502,0.06914979402725509,0.05447299937388043,0.0550723107173546,0.08352693300889268
Oligo:FLI1 -> TSPAN14,0.1339368435102373,0.11427852295277045,0.10968682989930818,0.15589101059443522,0.17221019352763853,0.15972142484901589,0.16149905211755472,0.1838101485719918
Oligo:RUNX1 -> SLC4A7,0.08673054243887693,0.06526725939516403,0.08250323206782031,0.0995758391462617,0.10510986723690652,0.0850780812835599,0.09187423011173475,0.12174357877616576
OPC:ZEB1 -> MEGF11,0.1201537468562966,0.11967829931961249,0.11978087960990993,0.12057790424783199,0.04087217479546248,0.01773611364097648,0.022373175872625103,0.06168970483412418
Astro:TCF7L2 -> ZFP36L1,0.11782153530291052,0.08305339187858612,0.09944886589039244,0.14439194172133182,0.040373146303306136,0.022259659356573418,0.02967362791552289,0.054779648970564136
Micro:TAL1 -> C1QB,0.039375886922870335,0.019469145075164052,0.022847738819234863,0.05759333189854125,0.06854281344686296,0.04723587086761721,0.06058904078660147,0.08317317106661662
Oligo:IKZF1 -> ADCY7,0.06776618424030167,0.06371122526143527,0.05033166332862129,0.0785109241855751,0.08116715701498314,0.059664827938742455,0.06828187523031741,0.09836096244543636
Oligo:ETV6 -> EPSTI1,0.055653125650975487,0.025557594851629856,0.027866025551509133,0.08459444110038151,0.05017976137392306,0.038894616814737805,0.0374150670164857,0.0622046808322344
Oligo:RUNX1 -> LYN,0.04386567528643575,0.02881871971840887,0.02708142613387899,0.0597812776467276,0.04176395888270779,0.03075930255365915,0.03226313619907549,0.05201669838904827
Oligo:IKZF1 -> CX3CR1,0.04651470259606471,0.03238128828084141,0.026855044010949448,0.06341123904623401,0.03862709688352045,0.02458426034324954,0.027497206313472293,0.051213460438679984
Micro:NFATC2 -> LCP2,0.03120219638693028,0.011059651126818077,0.01803513944527466,0.04785699748781422,0.015656703502241062,0.0009734577746955671,0.008623058236227724,0.026515148999020494
Oligo:FLI1 -> NCOA3,0.11681595028480822,0.1084022641575582,0.09054279182865149,0.13415937257651162,0.13616297117159695,0.09740342210436055,0.09519175718906717,0.17602835269648004
Oligo:RUNX1 -> AKAP13,0.06684054722421896,0.04958653100201647,0.04852072357706249,0.08462746715889845,0.11424949255032908,0.09946094158444842,0.09911068484074681,0.12921317188806056
Micro:IRF8 -> IL17RA,0.06189116430825804,0.032018311580152545,0.02585536264210825,0.0948454915053857,0.028139057207283706,0.0016783156917312522,0.002654516977748998,0.05411169807982733
Oligo:RUNX1 -> KCNQ1,0.08869116822657806,0.06959308546584543,0.07634851694431545,0.10441153524807567,0.1271037097390323,0.11038889787689761,0.10407859711679239,0.14697367198121958
Astro:TCF7L2 -> TNS3,0.12070134873714028,0.08433861630525004,0.09707994240542911,0.15069341811894105,0.03084988368205874,0.004378300921941286,0.008773988567343792,0.055123622619474975
Oligo:FLI1 -> PCDH9-AS2,0.1545508034477058,0.1494016157994533,0.1244607191514111,0.17217043941997942,0.14275044910762497,0.12629360549294738,0.1269066151535526,0.15890078789200002
Astro:TCF7L1 -> LAMA1,0.16532496185112874,0.1341747763288192,0.15261994328161152,0.18725256389704212,0.030055638528723075,0.00995827932036442,0.01482274869678881,0.04772076304886958
Oligo:FLI1 -> RAPGEF1,0.13259471956279395,0.12012856217456122,0.11054104860610203,0.14985463373525632,0.22716855031412175,0.21654871586170252,0.21510114257789778,0.23851217140844327
